0 <= x < 18870; y = 36.894964 + 0.012363x; least-squares 
 0 <= x < 30; 	 y_0 =  82.0000 + -0.5667x		interpolation 
30 <= x < 60; 	 y_1 =  58.0000 + 0.2333x		interpolation 
60 <= x < 90; 	 y_2 =  44.0000 + 0.4667x		interpolation 
90 <= x < 120; 	 y_3 =  95.0000 + -0.1000x		interpolation 
120 <= x < 150; 	 y_4 =  63.0000 + 0.1667x		interpolation 
150 <= x < 180; 	 y_5 =  108.0000 + -0.1333x		interpolation 
180 <= x < 210; 	 y_6 =  84.0000 + 0.0000x		interpolation 
210 <= x < 240; 	 y_7 =  182.0000 + -0.4667x		interpolation 
240 <= x < 270; 	 y_8 =  -74.0000 + 0.6000x		interpolation 
270 <= x < 300; 	 y_9 =  133.0000 + -0.1667x		interpolation 
300 <= x < 330; 	 y_10 =  23.0000 + 0.2000x		interpolation 
330 <= x < 360; 	 y_11 =  243.0000 + -0.4667x		interpolation 
360 <= x < 390; 	 y_12 =  111.0000 + -0.1000x		interpolation 
390 <= x < 420; 	 y_13 =  59.0000 + 0.0333x		interpolation 
420 <= x < 450; 	 y_14 =  -109.0000 + 0.4333x		interpolation 
450 <= x < 480; 	 y_15 =  86.0000 + 0.0000x		interpolation 
480 <= x < 510; 	 y_16 =  326.0000 + -0.5000x		interpolation 
510 <= x < 540; 	 y_17 =  54.0000 + 0.0333x		interpolation 
540 <= x < 570; 	 y_18 =  234.0000 + -0.3000x		interpolation 
570 <= x < 600; 	 y_19 =  -127.0000 + 0.3333x		interpolation 
600 <= x < 630; 	 y_20 =  133.0000 + -0.1000x		interpolation 
630 <= x < 660; 	 y_21 =  49.0000 + 0.0333x		interpolation 
660 <= x < 690; 	 y_22 =  -127.0000 + 0.3000x		interpolation 
690 <= x < 720; 	 y_23 =  287.0000 + -0.3000x		interpolation 
720 <= x < 750; 	 y_24 =  -361.0000 + 0.6000x		interpolation 
750 <= x < 780; 	 y_25 =  514.0000 + -0.5667x		interpolation 
780 <= x < 810; 	 y_26 =  -214.0000 + 0.3667x		interpolation 
810 <= x < 840; 	 y_27 =  353.0000 + -0.3333x		interpolation 
840 <= x < 870; 	 y_28 =  -207.0000 + 0.3333x		interpolation 
870 <= x < 900; 	 y_29 =  83.0000 + 0.0000x		interpolation 
900 <= x < 930; 	 y_30 =  -7.0000 + 0.1000x		interpolation 
930 <= x < 960; 	 y_31 =  241.0000 + -0.1667x		interpolation 
